Qtr,Sydney,Melbourne,Brisbane,Adelaide,Perth,Hobart,Darwin,Canberra,Australia
2009-03-01,0.1,0.3,0.2,0,-0.1,0.2,0.1,0.3,0.1
2009-06-01,0.4,0.3,0.5,0.5,0.9,0.5,1.1,0.6,0.4
2009-09-01,1.1,0.5,1.4,1.1,0.8,1.2,1.9,0.9,1
2009-12-01,0.5,0.6,0.3,0.4,0.5,0.6,-0.1,0.4,0.5
2010-03-01,0.8,1.3,0.7,0.5,1.2,0.7,0.5,0.6,1
2010-06-01,0.4,0.6,0.7,0.7,0.9,0.4,0.8,0.3,0.6
2010-09-01,0.7,0.5,1,0.9,0.4,1,1,0.7,0.7
2010-12-01,0.4,0.6,0.5,0.3,0.1,0.1,-0.1,0.4,0.4
2011-03-01,1.6,1.7,1.2,1.7,1.1,1.3,1.1,1.4,1.4
2011-06-01,1,0.7,1,0.9,1.3,0.9,1,1.1,0.9
2011-09-01,0.7,0.6,0.3,1,0.2,0.8,0.7,0.6,0.6
2011-12-01,-0.1,0.1,-0.2,0,0.2,0.1,-0.4,0.3,0
2012-03-01,0.1,0,0.2,-0.1,0.2,0.3,0.4,-0.4,0.1
2012-06-01,0.6,0.5,0.6,0.3,0.5,-0.4,0.8,0.6,0.5
2012-09-01,1.7,1.2,1.1,1.5,1.1,0.7,1.3,1.1,1.4
2012-12-01,0.1,0.4,0.3,0.4,0.3,0.4,0,0.4,0.2
2013-03-01,0.4,0.4,0.1,0,0.5,0.3,1.7,0.1,0.4
2013-06-01,0.4,0.2,0.5,0.2,0.6,0.4,0.9,0.6,0.4
2013-09-01,1.2,1.4,1.3,1.4,1.2,0.9,0.9,0.6,1.2
2013-12-01,0.7,0.8,0.8,0.7,0.7,1,0.9,1,0.8
2014-03-01,0.6,0.5,0.6,0.7,0.7,0.5,0.8,0.5,0.6
2014-06-01,0.4,0.6,0.6,0.4,0.8,0.4,0.7,0.2,0.5
2014-09-01,0.6,0.2,0.7,0.4,0.5,0.1,0.2,0.4,0.5
2014-12-01,0.2,0.2,0.2,0.3,0.1,0.1,0.2,0.1,0.2
2015-03-01,0.5,0.1,0,0.1,0.1,0.3,-0.2,-0.1,0.2
2015-06-01,0.9,0.7,0.7,0.5,0.6,0.1,0,0.4,0.7
2015-09-01,0.3,0.5,0.7,0.3,0.4,0.6,0.4,0.2,0.5
2015-12-01,0.3,0.7,0.4,0.2,0.5,0.9,0.3,0.2,0.4
2016-03-01,-0.2,-0.1,0,-0.3,-0.6,-0.2,-0.9,0.2,-0.2
2016-06-01,0.6,0.4,0.5,0.5,0.3,0,0.3,0.2,0.4
2016-09-01,1,0.5,0.6,0.8,0.4,0.7,0.4,0.8,0.7
2016-12-01,0.5,0.7,0.5,0.3,0.4,0.8,-0.1,0.6,0.5
2017-03-01,0.4,0.9,0.3,0.4,0,0.8,-0.1,0.6,0.5
2017-06-01,0.4,0.1,0.5,0.1,0,0,0.3,0,0.2
2017-09-01,0.7,0.5,0.4,1.1,0.5,0.3,0.6,0.9,0.6
2017-12-01,0.7,0.7,0.8,0.7,0.4,1,0.3,0.6,0.6
2018-03-01,0.3,0.9,0.1,0.4,0.1,0.7,0,0.8,0.4
2018-06-01,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4
2018-09-01,0.6,0.2,0.4,0.3,0.5,0.6,0.6,0.6,0.4
2018-12-01,0.4,0.5,0.5,0.5,0.5,1.2,0.2,0.7,0.5
2019-03-01,-0.1,0.1,0.1,0.1,-0.1,-0.2,-0.8,0.1,0
2019-06-01,0.7,0.5,0.6,0.5,0.7,0.6,0.8,0.3,0.6
2019-09-01,0.5,0.5,0.6,0.7,0.5,0.5,0.3,0.7,0.5
2019-12-01,0.5,0.9,0.7,0.8,0.4,1.7,0.2,0.6,0.7
2020-03-01,0.3,0.8,-0.1,0.3,0.4,0.4,0.3,0.4,0.3
2020-06-01,-2.3,-1.8,-2.2,-1,-1.2,-1.4,-2.5,-2.3,-1.9
2020-09-01,1.8,0.9,2.3,1,1.8,1,1.7,2.3,1.6
2020-12-01,1,1.5,1.1,0.7,-1,0.8,0.6,0.8,0.9
2021-03-01,0.4,0.3,0.6,0.6,1.4,0.8,2.6,0.9,0.6
2021-06-01,0.8,0.3,0.8,0.5,1.9,1.1,1,0.8,0.8
2021-09-01,0.7,0.8,1.3,0.7,0.8,0.3,1.5,1.3,0.8
2021-12-01,1.2,1.1,1.6,1.5,1.4,2.2,0.8,1,1.3
2022-03-01,1.7,2.3,2.2,1.9,3.3,2,2.1,2.2,2.1
2022-06-01,1.6,1.8,2.1,2.1,1.7,1.8,2.1,1.6,1.8
2022-09-01,2.3,2.1,1.8,2.6,-0.5,2.3,1.9,1.9,1.8
2022-12-01,1.8,1.6,1.5,1.7,3.6,1.5,0.9,1.2,1.9
2023-03-01,1.4,1.2,1.9,1.2,0.9,1.2,1.3,1.4,1.4
